Age_group,Attrition,BusinessTravel,DailyRate,Department,Distance_group,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
46-60,0,Travel_Rarely,1282,Research & Development,Near-by,Bachelors degree,Other,Satisfied,Female,58,Satisfied,Executive,Manager,Satisfied,Divorced,19094,10735,4,Y,No,11,Low,Very satisfied,80,Level 2,21-30,3,Average,11-20,13,4,8
31-45,1,Travel_Frequently,1125,Research & Development,Far,Technical Training,Life Sciences,Dissatisfied,Female,72,Very dissatisfied,Entry level,Research Scientist,Very dissatisfied,Single,3919,4681,1,Y,Yes,22,High,Dissatisfied,80,Level 1,11-20,5,Good,11-20,2,6,7
31-45,0,Travel_Rarely,691,Sales,Near-by,Masters degree,Marketing,Satisfied,Male,48,Satisfied,Junior or Associate,Sales Executive,Dissatisfied,Married,6825,21173,0,Y,No,11,Low,Very satisfied,80,Level 2,11-20,2,Good,1-10,7,4,2
31-45,0,Travel_Rarely,477,Research & Development,Near-by,Masters degree,Medical,Very dissatisfied,Female,42,Dissatisfied,Mid level Specialist,Healthcare Representative,Very satisfied,Married,10248,2094,3,Y,No,14,Low,Very satisfied,80,Level 2,21-30,4,Good,21-30,6,5,17
46-60,0,Travel_Rarely,705,Sales,Near-by,Masters degree,Marketing,Dissatisfied,Female,83,Satisfied,Executive,Manager,Very dissatisfied,Single,18947,22822,3,Y,No,12,Low,Very satisfied,80,Level 1,21-30,2,Average,1-10,2,2,1
31-45,0,Travel_Rarely,924,Research & Development,Near-by,Bachelors degree,Medical,Satisfied,Male,78,Satisfied,Entry level,Laboratory Technician,Very satisfied,Single,2496,6670,4,Y,No,11,Low,Very satisfied,80,Level 1,1-10,3,Good,1-10,1,0,0
31-45,0,Travel_Rarely,1459,Research & Development,Far,Masters degree,Other,Very satisfied,Male,41,Satisfied,Junior or Associate,Healthcare Representative,Very satisfied,Married,6465,19121,2,Y,Yes,13,Low,Very satisfied,80,Level 1,1-10,5,Excellent,1-10,2,1,3
18-30,0,Travel_Rarely,125,Research & Development,Near-by,College,Medical,Very satisfied,Male,83,Dissatisfied,Entry level,Laboratory Technician,Satisfied,Single,2206,16117,1,Y,No,13,Low,Very dissatisfied,80,Level 1,11-20,5,Good,11-20,0,1,8
31-45,1,Travel_Rarely,895,Sales,Near-by,Bachelors degree,Technical Degree,Very satisfied,Male,56,Satisfied,Junior or Associate,Sales Representative,Very satisfied,Married,2086,3335,3,Y,No,14,Low,Satisfied,80,Level 2,11-20,6,Excellent,1-10,0,0,0
18-30,1,Travel_Rarely,813,Research & Development,Near-by,Bachelors degree,Medical,Dissatisfied,Male,61,Satisfied,Entry level,Research Scientist,Very satisfied,Married,2293,3020,2,Y,Yes,16,Low,Very dissatisfied,80,Level 2,1-10,2,Average,1-10,0,2,0
31-45,0,Travel_Rarely,1273,Research & Development,Near-by,College,Medical,Very satisfied,Female,72,Very satisfied,Entry level,Research Scientist,Satisfied,Divorced,2645,21923,1,Y,No,12,Low,Very satisfied,80,Level 3,1-10,3,Average,1-10,3,1,4
46-60,1,Travel_Rarely,869,Sales,Near-by,College,Marketing,Very dissatisfied,Male,86,Dissatisfied,Entry level,Sales Representative,Satisfied,Married,2683,3810,1,Y,Yes,14,Low,Satisfied,80,Level 1,1-10,2,Good,1-10,2,0,2
31-45,0,Travel_Rarely,890,Sales,Near-by,Bachelors degree,Marketing,Very satisfied,Female,97,Satisfied,Entry level,Sales Representative,Very satisfied,Married,2014,9687,1,Y,No,13,Low,Very dissatisfied,80,Level 1,1-10,3,Good,1-10,2,2,2
31-45,0,Travel_Rarely,852,Research & Development,Near-by,Masters degree,Life Sciences,Dissatisfied,Female,82,Dissatisfied,Entry level,Research Scientist,Very dissatisfied,Married,3419,13072,9,Y,Yes,14,Low,Very satisfied,80,Level 2,1-10,3,Excellent,1-10,1,0,0
31-45,0,Travel_Frequently,1141,Sales,Near-by,Bachelors degree,Life Sciences,Satisfied,Female,42,Very satisfied,Junior or Associate,Sales Executive,Very dissatisfied,Married,5376,3193,2,Y,No,19,Low,Very dissatisfied,80,Level 3,11-20,3,Good,1-10,3,1,3
31-45,0,Travel_Rarely,464,Research & Development,Near-by,College,Other,Satisfied,Male,75,Satisfied,Entry level,Laboratory Technician,Very satisfied,Divorced,1951,10910,1,Y,No,12,Low,Satisfied,80,Level 2,1-10,3,Good,1-10,0,0,0
18-30,0,Travel_Rarely,1240,Research & Development,Near-by,Masters degree,Life Sciences,Very satisfied,Female,33,Satisfied,Entry level,Laboratory Technician,Very dissatisfied,Divorced,2341,19715,1,Y,No,13,Low,Very satisfied,80,Level 2,1-10,6,Good,1-10,0,0,0
18-30,1,Travel_Rarely,1357,Research & Development,Very far,Bachelors degree,Life Sciences,Very dissatisfied,Male,48,Very dissatisfied,Entry level,Laboratory Technician,Satisfied,Single,2293,10558,1,Y,No,12,Low,Satisfied,80,Level 1,1-10,2,Average,1-10,0,0,1
18-30,0,Travel_Frequently,994,Sales,Near-by,Bachelors degree,Life Sciences,Very satisfied,Male,37,Satisfied,Mid level Specialist,Sales Executive,Satisfied,Single,8726,2975,1,Y,No,15,Low,Very satisfied,80,Level 1,1-10,0,Good,1-10,8,1,7
18-30,0,Travel_Frequently,721,Research & Development,Near-by,College,Medical,Satisfied,Female,58,Satisfied,Junior or Associate,Laboratory Technician,Very satisfied,Single,4011,10781,1,Y,No,23,High,Very satisfied,80,Level 1,11-20,2,Good,11-20,8,3,7
31-45,1,Travel_Rarely,1360,Research & Development,Far,Bachelors degree,Technical Degree,Dissatisfied,Female,49,Satisfied,Executive,Research Director,Satisfied,Married,19545,16280,1,Y,No,12,Low,Very satisfied,80,Level 1,21-30,0,Good,21-30,15,15,8
31-45,0,Non-Travel,1065,Sales,Very far,Masters degree,Marketing,Dissatisfied,Male,72,Satisfied,Junior or Associate,Sales Executive,Satisfied,Single,4568,10034,0,Y,No,20,High,Satisfied,80,Level 1,11-20,2,Good,1-10,5,8,7
31-45,0,Travel_Rarely,408,Research & Development,Far,College,Life Sciences,Dissatisfied,Male,73,Satisfied,Entry level,Research Scientist,Dissatisfied,Married,3022,10227,4,Y,No,21,High,Very dissatisfied,80,Level 1,1-10,1,Good,1-10,0,0,0
46-60,0,Travel_Frequently,1211,Sales,Near-by,Masters degree,Marketing,Very dissatisfied,Male,98,Satisfied,Junior or Associate,Sales Executive,Very satisfied,Single,5772,20445,4,Y,Yes,21,High,Satisfied,80,Level 1,11-20,4,Good,1-10,6,0,8
31-45,0,Travel_Rarely,1229,Research & Development,Near-by,Technical Training,Life Sciences,Very satisfied,Male,36,Very satisfied,Entry level,Laboratory Technician,Very satisfied,Married,2269,4892,1,Y,No,19,Low,Very satisfied,80,Level 1,1-10,2,Good,1-10,0,0,1
46-60,1,Travel_Rarely,626,Research & Development,Near-by,College,Life Sciences,Very dissatisfied,Male,98,Dissatisfied,Mid level Specialist,Laboratory Technician,Satisfied,Single,5381,19294,9,Y,Yes,13,Low,Very satisfied,80,Level 1,21-30,2,Good,1-10,0,0,0
18-30,1,Travel_Rarely,1434,Research & Development,Near-by,Masters degree,Technical Degree,Satisfied,Male,50,Satisfied,Entry level,Laboratory Technician,Satisfied,Single,3441,11179,1,Y,Yes,13,Low,Satisfied,80,Level 1,1-10,3,Average,1-10,2,2,2
31-45,0,Travel_Rarely,1488,Sales,Near-by,Doctorate degree,Marketing,Dissatisfied,Female,75,Satisfied,Junior or Associate,Sales Executive,Very dissatisfied,Divorced,5454,4009,5,Y,Yes,21,High,Satisfied,80,Level 2,1-10,2,Average,1-10,3,1,3
31-45,0,Non-Travel,1097,Research & Development,Far,College,Medical,Satisfied,Male,79,Dissatisfied,Mid level Specialist,Healthcare Representative,Very dissatisfied,Married,9884,8302,2,Y,Yes,13,Low,Satisfied,80,Level 2,11-20,3,Good,1-10,0,2,3
18-30,0,Travel_Rarely,1443,Sales,Very far,Bachelors degree,Marketing,Satisfied,Female,47,Dissatisfied,Junior or Associate,Sales Executive,Very satisfied,Married,4157,21436,7,Y,Yes,19,Low,Satisfied,80,Level 2,1-10,2,Average,1-10,2,0,0
31-45,0,Travel_Frequently,515,Research & Development,Near-by,College,Life Sciences,Very dissatisfied,Female,98,Satisfied,Mid level Specialist,Research Director,Very satisfied,Single,13458,15146,1,Y,Yes,12,Low,Satisfied,80,Level 1,11-20,1,Good,11-20,14,8,12
31-45,0,Travel_Frequently,853,Sales,Far,Doctorate degree,Life Sciences,Dissatisfied,Male,71,Satisfied,Mid level Specialist,Sales Executive,Very dissatisfied,Married,9069,11031,1,Y,No,22,High,Very satisfied,80,Level 2,1-10,3,Average,1-10,8,1,8
31-45,0,Travel_Rarely,1142,Research & Development,Very far,Masters degree,Medical,Satisfied,Female,30,Satisfied,Entry level,Laboratory Technician,Very dissatisfied,Married,4014,16002,3,Y,Yes,15,Low,Satisfied,80,Level 2,1-10,3,Good,1-10,2,2,2
31-45,0,Travel_Rarely,655,Research & Development,Near-by,Masters degree,Life Sciences,Very satisfied,Male,48,Satisfied,Junior or Associate,Laboratory Technician,Very satisfied,Divorced,5915,9528,3,Y,No,22,High,Very satisfied,80,Level 2,11-20,3,Average,1-10,7,1,7
31-45,0,Travel_Rarely,1115,Research & Development,Near-by,Masters degree,Life Sciences,Very dissatisfied,Male,51,Dissatisfied,Junior or Associate,Manufacturing Director,Satisfied,Divorced,5993,2689,1,Y,No,18,Low,Satisfied,80,Level 2,1-10,2,Excellent,1-10,5,0,7
31-45,0,Travel_Rarely,427,Research & Development,Near-by,Bachelors degree,Medical,Very dissatisfied,Male,33,Satisfied,Junior or Associate,Manufacturing Director,Very satisfied,Married,6162,10877,1,Y,Yes,22,High,Dissatisfied,80,Level 2,1-10,3,Good,1-10,8,7,8
31-45,0,Travel_Frequently,653,Research & Development,Very far,Doctorate degree,Life Sciences,Very satisfied,Female,50,Satisfied,Junior or Associate,Laboratory Technician,Very satisfied,Single,2406,5456,1,Y,No,11,Low,Very satisfied,80,Level 1,11-20,2,Good,11-20,3,9,9
46-60,0,Travel_Rarely,989,Research & Development,Near-by,College,Medical,Dissatisfied,Female,43,Dissatisfied,Executive,Research Director,Satisfied,Divorced,18740,16701,5,Y,Yes,12,Low,Very satisfied,80,Level 2,21-30,2,Average,21-30,3,13,8
46-60,0,Travel_Rarely,1435,Sales,Very far,Bachelors degree,Life Sciences,Very dissatisfied,Female,99,Satisfied,Mid level Specialist,Sales Executive,Very dissatisfied,Single,7637,2354,7,Y,No,11,Low,Very satisfied,80,Level 1,21-30,3,Average,21-30,16,7,9
31-45,0,Travel_Rarely,1223,Research & Development,Near-by,Bachelors degree,Technical Degree,Satisfied,Female,59,Satisfied,Mid level Specialist,Healthcare Representative,Satisfied,Divorced,10096,8202,1,Y,No,13,Low,Dissatisfied,80,Level 4,11-20,2,Good,11-20,14,12,8
46-60,0,Travel_Rarely,836,Research & Development,Near-by,Bachelors degree,Medical,Very satisfied,Female,33,Satisfied,Senior,Manager,Satisfied,Divorced,14756,19730,2,Y,Yes,14,Low,Satisfied,80,Level 4,21-30,2,Good,1-10,0,0,2
31-45,0,Travel_Frequently,1195,Research & Development,Far,Bachelors degree,Life Sciences,Dissatisfied,Male,95,Dissatisfied,Junior or Associate,Manufacturing Director,Dissatisfied,Single,6499,22656,1,Y,No,13,Low,Satisfied,80,Level 1,1-10,3,Good,1-10,5,0,3
31-45,0,Travel_Rarely,1339,Research & Development,Near-by,Bachelors degree,Life Sciences,Dissatisfied,Male,59,Satisfied,Mid level Specialist,Research Scientist,Very dissatisfied,Divorced,9724,18787,2,Y,No,17,Low,Satisfied,80,Level 2,21-30,2,Good,1-10,0,0,0
31-45,0,Travel_Frequently,664,Research & Development,Near-by,Bachelors degree,Medical,Dissatisfied,Male,79,Satisfied,Entry level,Research Scientist,Very dissatisfied,Married,2194,5868,4,Y,No,13,Low,Very satisfied,80,Level 2,1-10,2,Average,1-10,2,1,2
31-45,1,Travel_Rarely,318,Research & Development,Near-by,Bachelors degree,Medical,Very satisfied,Male,79,Dissatisfied,Entry level,Research Scientist,Satisfied,Married,3388,21777,0,Y,Yes,17,Low,Very dissatisfied,80,Level 2,1-10,0,Average,1-10,0,0,0
46-60,0,Travel_Frequently,1225,Sales,Near-by,Technical Training,Life Sciences,Very dissatisfied,Female,57,Dissatisfied,Junior or Associate,Sales Executive,Satisfied,Single,5473,24668,7,Y,No,11,Low,Very satisfied,80,Level 1,21-30,2,Average,1-10,3,1,3
18-30,0,Travel_Rarely,1328,Research & Development,Near-by,Bachelors degree,Life Sciences,Satisfied,Male,76,Satisfied,Entry level,Research Scientist,Dissatisfied,Married,2703,4956,0,Y,No,23,High,Very satisfied,80,Level 2,1-10,3,Good,1-10,4,0,4
31-45,0,Travel_Rarely,1082,Research & Development,Near-by,Masters degree,Medical,Satisfied,Male,87,Satisfied,Entry level,Research Scientist,Dissatisfied,Single,2501,18775,1,Y,No,17,Low,Dissatisfied,80,Level 1,1-10,4,Good,1-10,1,1,0
31-45,0,Travel_Rarely,548,Research & Development,Near-by,Bachelors degree,Life Sciences,Dissatisfied,Male,66,Satisfied,Junior or Associate,Research Scientist,Dissatisfied,Married,6220,7346,1,Y,No,17,Low,Dissatisfied,80,Level 3,11-20,3,Good,11-20,4,0,9
31-45,0,Travel_Rarely,132,Research & Development,Near-by,Bachelors degree,Life Sciences,Dissatisfied,Female,55,Very satisfied,Entry level,Laboratory Technician,Very satisfied,Married,3038,22002,3,Y,No,12,Low,Dissatisfied,80,Level 1,1-10,3,Good,1-10,0,0,0
31-45,0,Travel_Rarely,746,Research & Development,Near-by,Masters degree,Life Sciences,Satisfied,Female,61,Satisfied,Junior or Associate,Manufacturing Director,Very satisfied,Single,4424,20682,1,Y,No,23,High,Very satisfied,80,Level 1,11-20,2,Good,11-20,7,1,8
31-45,0,Travel_Rarely,776,Sales,Near-by,Masters degree,Marketing,Satisfied,Male,32,Dissatisfied,Junior or Associate,Sales Executive,Very dissatisfied,Single,4312,23016,0,Y,No,14,Low,Dissatisfied,80,Level 1,11-20,2,Good,11-20,13,2,8
31-45,0,Travel_Rarely,193,Research & Development,Near-by,Masters degree,Other,Very satisfied,Male,52,Satisfied,Mid level Specialist,Research Director,Very dissatisfied,Married,13245,15067,4,Y,Yes,14,Low,Dissatisfied,80,Level 1,11-20,3,Excellent,1-10,0,0,0
31-45,0,Travel_Rarely,397,Research & Development,Near-by,Masters degree,Medical,Very dissatisfied,Male,30,Satisfied,Mid level Specialist,Research Director,Satisfied,Single,13664,25258,4,Y,No,13,Low,Very dissatisfied,80,Level 1,11-20,3,Excellent,1-10,2,0,2
46-60,0,Travel_Rarely,945,Human Resources,Near-by,College,Medical,Dissatisfied,Male,80,Satisfied,Junior or Associate,Human Resources,Dissatisfied,Divorced,5021,10425,8,Y,Yes,22,High,Very satisfied,80,Level 2,11-20,2,Good,1-10,2,0,2
18-30,0,Travel_Rarely,852,Research & Development,Near-by,Technical Training,Life Sciences,Very satisfied,Male,55,Dissatisfied,Junior or Associate,Laboratory Technician,Very satisfied,Married,5126,15998,1,Y,Yes,12,Low,Satisfied,80,Level 3,11-20,1,Average,11-20,8,3,0
31-45,0,Travel_Rarely,1214,Research & Development,Near-by,Bachelors degree,Medical,Dissatisfied,Male,30,Dissatisfied,Entry level,Research Scientist,Satisfied,Single,2859,26278,1,Y,No,18,Low,Very dissatisfied,80,Level 1,1-10,3,Good,1-10,4,0,4
46-60,0,Travel_Rarely,111,Sales,Near-by,College,Life Sciences,Very dissatisfied,Male,70,Satisfied,Mid level Specialist,Sales Executive,Very satisfied,Married,10239,18092,3,Y,No,14,Low,Very satisfied,80,Level 2,21-30,4,Good,1-10,0,1,0
31-45,0,Non-Travel,573,Research & Development,Near-by,Bachelors degree,Medical,Dissatisfied,Female,79,Very dissatisfied,Junior or Associate,Research Scientist,Very satisfied,Divorced,5329,15717,7,Y,Yes,12,Low,Very satisfied,80,Level 4,11-20,3,Good,11-20,11,1,9
31-45,0,Travel_Rarely,1153,Research & Development,Near-by,College,Medical,Very dissatisfied,Male,94,Satisfied,Junior or Associate,Manufacturing Director,Dissatisfied,Married,4325,17736,1,Y,No,15,Low,Satisfied,80,Level 1,1-10,2,Good,1-10,2,1,3
46-60,0,Travel_Rarely,1400,Research & Development,Near-by,Bachelors degree,Life Sciences,Very satisfied,Male,49,Very dissatisfied,Mid level Specialist,Manufacturing Director,Very satisfied,Single,7260,21698,4,Y,No,11,Low,Very dissatisfied,80,Level 1,31-40,3,Average,1-10,4,0,2
18-30,0,Travel_Rarely,541,Sales,Near-by,Technical Training,Technical Degree,Satisfied,Male,62,Satisfied,Entry level,Sales Representative,Very dissatisfied,Divorced,2322,9518,3,Y,No,13,Low,Satisfied,80,Level 2,1-10,3,Good,1-10,0,0,0
46-60,0,Travel_Rarely,432,Research & Development,Near-by,Masters degree,Life Sciences,Very satisfied,Male,96,Satisfied,Entry level,Laboratory Technician,Very satisfied,Married,2075,18725,3,Y,No,23,High,Dissatisfied,80,Level 3,11-20,4,Good,1-10,2,0,3
18-30,0,Travel_Rarely,288,Research & Development,Near-by,Bachelors degree,Life Sciences,Satisfied,Male,99,Dissatisfied,Junior or Associate,Healthcare Representative,Very satisfied,Married,4152,15830,1,Y,No,19,Low,Very dissatisfied,80,Level 4,11-20,3,Good,11-20,10,10,8
46-60,1,Travel_Rarely,669,Sales,Near-by,College,Medical,Satisfied,Male,64,Dissatisfied,Mid level Specialist,Sales Executive,Very satisfied,Single,9619,13596,1,Y,No,16,Low,Very satisfied,80,Level 1,1-10,3,Good,1-10,8,4,7
31-45,0,Travel_Frequently,530,Research & Development,Near-by,Masters degree,Life Sciences,Satisfied,Male,78,Dissatisfied,Senior,Healthcare Representative,Dissatisfied,Married,13503,14115,1,Y,No,22,High,Very satisfied,80,Level 2,21-30,3,Average,21-30,3,11,11
46-60,0,Travel_Rarely,632,Sales,Very far,Masters degree,Marketing,Satisfied,Male,71,Satisfied,Junior or Associate,Sales Executive,Very satisfied,Single,5441,8423,0,Y,Yes,22,High,Very satisfied,80,Level 1,11-20,2,Bad,11-20,7,1,0
18-30,0,Travel_Rarely,1334,Sales,Near-by,College,Medical,Satisfied,Female,63,Dissatisfied,Junior or Associate,Sales Executive,Dissatisfied,Divorced,5209,19760,1,Y,Yes,12,Low,Dissatisfied,80,Level 4,11-20,4,Average,11-20,8,2,7
46-60,0,Travel_Frequently,638,Research & Development,Near-by,Bachelors degree,Medical,Satisfied,Male,40,Dissatisfied,Mid level Specialist,Healthcare Representative,Very dissatisfied,Married,10673,3142,2,Y,Yes,13,Low,Satisfied,80,Level 2,21-30,5,Average,11-20,9,9,5
31-45,0,Travel_Rarely,1093,Sales,Near-by,Masters degree,Medical,Dissatisfied,Male,87,Satisfied,Junior or Associate,Sales Executive,Satisfied,Single,5010,24301,1,Y,No,16,Low,Very dissatisfied,80,Level 1,11-20,0,Good,11-20,8,5,7
46-60,0,Travel_Rarely,1217,Research & Development,Near-by,Masters degree,Technical Degree,Very dissatisfied,Female,60,Satisfied,Mid level Specialist,Research Director,Satisfied,Married,13549,24001,9,Y,No,12,Low,Very dissatisfied,80,Level 2,11-20,5,Bad,1-10,3,0,3
18-30,0,Travel_Rarely,1353,Sales,Near-by,College,Other,Very dissatisfied,Female,33,Satisfied,Junior or Associate,Sales Executive,Satisfied,Married,4999,17519,0,Y,No,21,High,Very dissatisfied,80,Level 2,1-10,2,Average,1-10,2,0,2
18-30,0,Non-Travel,120,Sales,Near-by,Bachelors degree,Medical,Dissatisfied,Male,43,Satisfied,Junior or Associate,Sales Executive,Satisfied,Married,4221,8863,1,Y,No,15,Low,Dissatisfied,80,Level 1,1-10,3,Excellent,1-10,4,0,4
46-60,0,Travel_Rarely,682,Sales,Far,Masters degree,Medical,Very satisfied,Male,37,Satisfied,Senior,Sales Executive,Satisfied,Single,13872,24409,0,Y,No,13,Low,Satisfied,80,Level 1,31-40,1,Average,31-40,10,1,8
31-45,0,Non-Travel,489,Research & Development,Very far,Bachelors degree,Medical,Dissatisfied,Male,67,Satisfied,Junior or Associate,Laboratory Technician,Dissatisfied,Married,2042,25043,4,Y,No,12,Low,Satisfied,80,Level 2,11-20,3,Excellent,1-10,2,1,2
